ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 27352, 27856)",-,NM_001178205.1,17.504,-9.964130434782607,-4.282222222222229,134.427,0.2263888888888889,504
"('chrI', 32447, 32629)",+,NM_001178204.1,21.281,-11.4,-7.7,55.187,0.4214285714285714,182
"('chrI', 78195, 78536)",+,NM_001178180.1,67.963,0.0,-4.766666666666667,95.648,0.3627565982404692,341
"('chrI', 118931, 119470)",-,NM_001178163.1,37.709,0.0,-11.77261904761903,132.469,0.298886827458256,539
"('chrI', 122507, 122695)",+,NM_001178162.2,24.54,0.0,0.0,30.231,0.5111702127659574,188
"('chrI', 123049, 123445)",+,NM_001178162.2,13.623,-9.1,0.0,101.122,0.2585858585858586,396
"('chrI', 134806, 134942)",-,NM_001178155.2,34.206,-3.6,-3.587878787878786,26.052,0.4985294117647059,136
"('chrI', 148753, 149047)",-,NM_001178148.1,10.029,-11.86224489795916,-6.971052631578942,62.247,0.4333333333333333,294
"('chrI', 148753, 148981)",-,NM_001178148.1,44.979,-7.214285714285717,-11.181081081081077,50.481,0.4513157894736841,228
"('chrM', 21284, 21516)",+,NP_009307.2,57.811,0.0,-0.5333333333333333,50.532,0.5202586206896551,232
"('chrM', 21284, 21516)",+,NP_009306.1,47.656,-9.3,0.0,63.918,0.4564655172413793,232
"('chrM', 22132, 22523)",+,NP_009306.1,16.361,-8.400000000000002,0.0,98.584,0.351918158567775,391
"('chrM', 22132, 22610)",+,NP_009306.1,30.682,-5.933333333333333,0.0,115.064,0.3052301255230125,478
"('chrM', 21284, 21516)",+,NP_009305.1,20.122,-13.05,0.0,58.256,0.5051724137931035,232
"('chrM', 22132, 22523)",+,NP_009305.1,24.681,-4.7,0.0,80.105,0.3337595907928389,391
"('chrM', 22132, 22610)",+,NP_009305.1,45.521,0.0,0.0,129.005,0.302928870292887,478
"('chrM', 37670, 38152)",+,NP_009318.1,22.361,0.0,0.0,116.471,0.2981327800829875,482
"('chrM', 37670, 38152)",+,NP_009317.1,15.842,-6.316666666666667,0.0,130.146,0.2985477178423236,482
"('chrM', 37670, 38152)",+,NP_009316.1,17.857,0.0,0.0,121.749,0.3454356846473029,482
"('chrM', 41294, 41631)",+,NP_009316.1,41.379,-5.1,-2.6,86.208,0.3474777448071217,337
"('chrM', 37670, 38152)",+,NP_009315.1,23.121,-3.2,-1.4,116.304,0.2688796680497926,482
"('chrM', 41294, 41631)",+,NP_009315.1,17.148,-8.478947368421052,-6.159090909090909,65.195,0.3685459940652819,337
"('chrV', 55417, 55680)",-,NM_001178868.3,10.943,-8.568,0.0,77.677,0.4076045627376426,263
"('chrV', 54183, 54699)",-,NM_001178868.3,27.363,0.0,0.0,128.546,0.3217054263565892,516
"('chrV', 78106, 78345)",+,NM_001178855.3,22.114,0.0,0.0,57.205,0.2761506276150627,239
"('chrV', 92811, 93213)",+,NM_001178846.3,16.148,-9.4,0.0,100.787,0.2835820895522388,402
"('chrV', 105695, 106042)",-,NM_001178840.1,42.148,-7.633333333333334,-11.62470588235296,80.703,0.3524495677233429,347
"('chrV', 119699, 119808)",-,NM_001178835.1,11.87,0.0,-9.097560975609756,18.148,0.4,109
"('chrV', 120796, 121246)",-,NM_001178834.3,32.675,-5.800000000000001,-4.224615384615384,96.902,0.2826666666666667,450
"('chrV', 169580, 169888)",-,NM_001178899.1,19.986,-7.859999999999999,-7.242045454545444,68.028,0.3493506493506493,308
"('chrV', 184282, 184566)",-,NM_001184456.1,24.244,-13.933333333333335,0.0,48.24,0.3165492957746479,284
"('chrV', 185610, 185779)",+,NM_001178906.3,34.818,-10.926373626373628,-2.975,45.071,0.4325443786982249,169
"('chrV', 203744, 203978)",+,NM_001178915.1,30.277,-11.8,-3.5050000000000034,64.111,0.3183760683760684,234
"('chrV', 218842, 219050)",-,NM_001178924.1,33.946,0.0,0.0,40.958,0.4466346153846154,208
"('chrV', 293794, 294070)",+,NM_001178959.3,37.621,0.0,0.0,51.217,0.3844202898550725,276
"('chrV', 298951, 299478)",+,NM_001178961.1,42.771,0.0,0.0,141.078,0.2920303605313092,527
"('chrV', 329347, 329606)",+,NM_001178977.1,0.867,0.0,0.0,76.471,0.3826254826254827,259
"('chrV', 329359, 329606)",+,NM_001178977.1,14.936,0.0,0.0,59.799,0.3477732793522267,247
"('chrV', 329509, 329606)",+,NM_001178977.1,20.407,-1.6,0.0,14.268,0.4907216494845361,97
"('chrV', 329145, 329606)",+,NM_001178977.1,26.607,0.0,0.0,98.257,0.323644251626898,461
"('chrV', 343365, 343574)",-,NM_001178984.1,33.922,-14.4,0.0,45.881,0.4062200956937799,209
"('chrV', 344845, 345177)",-,NM_001178984.1,5.908,-14.8,0.0,83.696,0.2828313253012048,332
"('chrV', 350616, 350997)",+,NM_001178986.3,12.47,-15.761538461538455,-10.18285714285714,111.994,0.3753280839895013,381
"('chrV', 350547, 350997)",+,NM_001178986.3,17.916,0.0,-2.6000000000000005,133.563,0.3233333333333333,450
"('chrV', 384387, 384531)",-,NM_001179001.1,32.921,-6.663157894736842,-4.490000000000001,23.484,0.4624999999999999,144
"('chrV', 466903, 467132)",-,NM_001179039.1,40.816,-6.133333333333333,-3.642307692307692,48.269,0.4270742358078602,229
"('chrV', 480860, 480989)",-,NM_001179045.3,40.023,-1.3909090909090909,0.0,18.841,0.4945736434108527,129
