ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe,BPToEndStemMetric_RNAstructure_DMS_mfe,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe
"('chrXV', 780320, 780477)",+,,6.0,-1,0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,30,0,0.47770700636942676
"('chrXII', 712525, 712955)",-,,32.0,0,0,0.0,0.0,0.0,0.0,0.0,58,0,0.39767441860465114
"('chrVI', 54177, 54486)",-,,61.0,0,0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,45,0,0.4692556634304207
"('chrXVI', 281173, 281303)",-,,16.0,0,0,0.14285714285714285,0.7142857142857143,0.42857142857142855,-11.6,0.0,33,0,0.43846153846153846
"('chrXII', 40021, 40200)",-,,16.0,-1,0,0.7142857142857143,0.0,0.0,0.0,0.0,10,0,0.9106145251396648
"('chrII', 406827, 406922)",-,,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.9894736842105263
"('chrXV', 552465, 552674)",-,,31.0,0,0,0.14285714285714285,0.0,0.0,0.0,0.0,19,0,0.3492822966507177
"('chrIV', 216357, 216689)",+,,38.0,0,0,0.0,1.0,0.5714285714285714,0.0,0.0,42,0,0.44879518072289154
"('chrIV', 239198, 239309)",-,,49.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,13,0,0.5945945945945946
"('chrII', 393380, 393710)",+,,58.0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,25,0,0.49393939393939396
"('chrX', 435427, 435543)",+,,42.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,23,0,0.5344827586206896
"('chrXVI', 623777, 623910)",+,,21.0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,-10.0,17,0,0.5413533834586466
"('chrXVI', 883587, 883686)",+,,4.0,0,0,0.7142857142857143,0.0,0.5714285714285714,0.0,0.0,11,0,0.7171717171717171
"('chrVIII', 187314, 187476)",-,,32.0,0,0,0.14285714285714285,0.2857142857142857,0.0,0.0,-12.7,16,0,0.6666666666666666
"('chrV', 307946, 308048)",+,,36.0,0,0,0.0,0.0,0.0,0.0,-6.8,7,0,0.5882352941176471
"('chrIV', 715047, 715158)",-,,48.0,0,0,0.0,0.2857142857142857,0.5714285714285714,-7.3,0.0,8,0,0.4864864864864865
"('chrXIII', 99059, 99175)",-,,35.0,0,-1,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,5,0,0.6120689655172413
"('chrXIII', 23160, 23458)",-,,42.0,0,0,0.42857142857142855,0.0,0.8571428571428571,0.0,-11.1,63,0,0.3724832214765101
"('chrIV', 733502, 733575)",-,,31.0,0,0,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,6,0,0.5616438356164384
