ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe,BPToEndStemMetric_RNAstructure_DMS_mfe,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe_BPP,BPToEndStemMetric_RNAstructure_DMS_mfe_BPP,ZipperStemStartMetric_RNAstructure_DMS_mfe_BPP,ZipperStemEndMetric_RNAstructure_DMS_mfe_BPP,LongestStemMetric_RNAstructure_DMS_mfe_BPP,ThreeprimeDistStopFeature,RPKMFeature,LengthFeature,LocalizationMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,ZipperStemStartMetric_RNAstructure_mfe_BPP,ZipperStemEndMetric_RNAstructure_mfe_BPP,LongestStemMetric_RNAstructure_mfe_BPP
"('chrXV', 780120, 780277)",+,,87.0,0,0,0.0,0.0,0.0,0.0,0.0,19,0,0.4203821656050955,39.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,19,0,0.29936305732484075,0,0,0.0,0.0,19,,,157,20.11,-10.642857142857142,0.0,31.217,0.4012738853503185,0.0,0.0,19
"('chrXII', 712725, 713155)",-,,59.0,0,0,0.0,0.0,0.0,-25.5,0.0,13,0,0.2883720930232558,15.0,0,0,0.2857142857142857,0.0,0.5714285714285714,-25.5,0.0,31,1,0.26744186046511625,0,0,-25.5,0.0,13,,,430,16.813,-25.58333333333333,-1.0058823529411764,113.808,0.3509302325581395,-25.5,0.0,16
"('chrVI', 54377, 54686)",-,,64.0,0,0,0.0,0.0,0.4285714285714285,-16.6,0.0,34,0,0.4271844660194174,3.0,-1,-1,0.8571428571428571,0.5714285714285714,0.8571428571428571,-16.6,0.0,35,0,0.39805825242718446,0,0,-16.6,0.0,52,,,309,26.467,-32.626086956521746,-3.5,81.46,0.4647249190938511,-16.6,0.0,15
"('chrXVI', 281373, 281503)",-,,50.0,0,0,0.8571428571428571,0.0,0.0,-15.3,0.0,15,0,0.2461538461538461,38.0,0,0,0.8571428571428571,0.5714285714285714,0.1428571428571428,-15.3,0.0,16,0,0.24615384615384617,0,0,-15.3,0.0,15,,,130,20.969,-15.26790123456788,0.0,19.274,0.473076923076923,-15.3,0.0,16
"('chrXII', 40221, 40400)",-,,44.0,0,0,0.0,0.0,0.2857142857142857,0.0,-22.3,22,0,0.3519553072625698,40.0,0,0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.0,-22.3,28,0,0.33519553072625696,0,0,0.0,-22.3,10,,,179,39.981,0.0,-19.701999999999977,56.169,0.4815642458100558,0.0,-22.3,10
"('chrII', 407027, 407122)",-,,50.0,0,0,0.0,0.0,0.0,-6.8,0.0,6,0,0.3894736842105263,14.0,0,0,0.8571428571428571,0.0,0.0,0.0,0.0,12,1,0.2736842105263158,0,0,-6.8,0.0,5,,,95,17.304,-6.766666666666668,0.0,18.559,0.5936842105263157,0.0,0.0,0
"('chrXVI', 138725, 138864)",+,,60.0,0,0,0.0,0.0,0.0,0.0,0.0,10,0,0.3525179856115107,29.0,0,0,0.0,0.7142857142857143,0.2857142857142857,-6.2,0.0,21,1,0.2302158273381295,0,0,0.0,0.0,10,,,139,23.044,-6.238554216867464,0.0,34.686,0.4100719424460433,0.0,0.0,10
"('chrXV', 552665, 552874)",-,,94.0,0,0,0.0,0.0,0.0,0.0,-5.7,10,0,0.2727272727272727,42.0,0,0,0.0,0.0,0.5714285714285714,-12.1,-4.2,23,0,0.27751196172248804,0,0,0.0,-4.6,7,,,209,34.176,-13.15,-5.766292134831454,60.657,0.3688995215311005,0.0,-4.2,6
"('chrIV', 216157, 216489)",+,,48.0,0,0,0.0,0.0,0.0,0.0,0.0,13,0,0.2710843373493976,8.0,0,0,0.2857142857142857,0.0,0.7142857142857143,-19.9,0.0,27,1,0.2469879518072289,0,0,0.0,0.0,13,,,332,12.76,-19.83164556962027,0.0,90.759,0.305421686746988,0.0,0.0,6
"('chrIV', 239398, 239509)",-,,68.0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0.4054054054054054,15.0,-1,0,0.7142857142857143,0.0,0.0,0.0,0.0,23,0,0.3063063063063063,0,0,0.0,0.0,0,,,111,16.58,-5.5600000000000005,0.0,21.836,0.5963963963963963,0.0,0.0,0
"('chrII', 393180, 393510)",+,,66.0,0,0,0.0,0.0,0.2857142857142857,-15.4,0.0,28,1,0.3606060606060606,24.0,0,0,0.8571428571428571,0.0,0.0,-19.6,0.0,28,1,0.2696969696969697,0,0,-15.4,0.0,50,,,330,16.337,-16.308080808080803,0.0,93.284,0.4487878787878787,-19.6,0.0,28
"('chrX', 435227, 435343)",+,,41.0,0,-1,0.0,0.0,0.0,-8.5,0.0,9,0,0.3448275862068966,24.0,0,0,0.2857142857142857,0.4285714285714285,0.2857142857142857,-8.5,0.0,9,0,0.29310344827586204,-1,-1,-8.5,0.0,9,,,116,21.233,-8.5,-5.4,26.642,0.4706896551724138,-8.5,0.0,9
