ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe_BPP,BPToEndStemMetric_RNAstructure_DMS_mfe_BPP,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe_BPP,ZipperStemEndMetric_RNAstructure_DMS_mfe_BPP,LongestStemMetric_RNAstructure_DMS_mfe_BPP,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe
"('chrI', 78395, 78736)",+,,119.0,0,0,0.0,0.5714285714285714,0.7142857142857143,0.0,0.0,0,0,0.5483870967741935,49.0,0,0,0.0,0.14285714285714285,0.8571428571428571,0.0,-6.5,85,3,0.36950146627565983
"('chrI', 122707, 122895)",+,,48.0,0,0,0.0,0.7142857142857143,1.0,0.0,0.0,35,0,0.4095744680851064,23.0,0,0,0.2857142857142857,0.7142857142857143,1.0,0.0,0.0,57,0,0.324468085106383
"('chrI', 123249, 123645)",+,,37.0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,12,0,0.3964646464646464,26.0,0,0,0.5714285714285714,0.0,1.0,0.0,0.0,74,1,0.3888888888888889
"('chrM', 21484, 21716)",+,,37.0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,0.521551724137931,10.0,-1,-1,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.0,-5.0,60,0,0.2801724137931034
"('chrM', 22332, 22810)",+,,31.0,0,0,0.8571428571428571,0.0,0.5714285714285714,0.0,0.0,35,0,0.2510460251046025,59.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,84,0,0.34518828451882844
"('chrM', 37870, 38352)",+,,38.0,0,0,0.0,0.0,0.0,0.0,0.0,13,0,0.533195020746888,45.0,0,0,0.42857142857142855,0.0,1.0,0.0,0.0,90,0,0.42738589211618255
"('chrM', 41494, 41831)",+,,5.0,0,-1,0.5714285714285714,0.1428571428571428,0.7142857142857143,0.0,-6.2,45,1,0.3857566765578635,3.0,-1,-1,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.0,-6.2,96,1,0.34421364985163205
"('chrV', 78306, 78545)",+,,17.0,0,0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,12,0,0.5062761506276151,31.0,0,0,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.0,0.0,42,1,0.3389121338912134
"('chrV', 93011, 93413)",+,,21.0,0,0,0.4285714285714285,0.0,0.0,0.0,0.0,8,0,0.4253731343283582,32.0,0,0,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.0,0.0,114,1,0.27114427860696516
"('chrV', 105495, 105842)",-,,73.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,7,1,0.3515850144092219,49.0,0,0,0.7142857142857143,0.0,0.42857142857142855,0.0,0.0,90,2,0.2478386167146974
"('chrV', 169380, 169688)",-,,103.0,0,0,0.0,0.8571428571428571,0.8571428571428571,0.0,-9.7,14,0,0.5714285714285714,34.0,0,0,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.0,-14.6,61,0,0.34415584415584416
"('chrV', 293994, 294270)",+,,39.0,0,0,0.2857142857142857,0.4285714285714285,0.0,0.0,0.0,8,0,0.6195652173913043,47.0,0,0,0.8571428571428571,0.0,0.42857142857142855,0.0,0.0,43,0,0.44565217391304346
"('chrV', 299151, 299678)",+,,52.0,0,0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,12,0,0.5749525616698292,75.0,0,0,0.42857142857142855,0.0,0.8571428571428571,0.0,0.0,140,0,0.31499051233396586
