ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,HasEarlyStopFeature,ThreeprimeDistStopFeature,RPKMFeature,ZipperStemMetric_Vienna_mfe,LocalizationMetric_Vienna_mfe,StartToBPStemMetric_Vienna_mfe,BPToEndStemMetric_Vienna_mfe,StartProtectionMetric_Vienna_mfe,EndProtectionMetric_Vienna_mfe,BPProtectionMetric_Vienna_mfe,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 27352, 27856)",-,NM_001178205.1,17.246,11.512925464970229,6.907755278982138,0.4572857142857139,0.3570000000000002,0.7401428571428583,0,0.0,1.956646787,20.0,48.0,0,0,0.0,0.7142857142857143,0.4285714285714285,-18.7,-9.542307692307693,117.965,0.23888888888888887,504
"('chrI', 32447, 32629)",+,NM_001178204.1,23.747,4.961845129926823,11.512925464970229,0.4675714285714273,0.4820000000000009,0.6222857142857084,1,304.0,18.90286249,20.0,24.0,0,0,0.4285714285714285,0.8571428571428571,0.5714285714285714,-20.104166666666664,-4.12,47.69,0.454945054945055,182
"('chrI', 78195, 78536)",+,NM_001178180.1,49.987,11.512925464970229,11.512925464970229,0.6835714285714283,0.2909999999999976,0.3475714285714281,1,880.0,209.9688308,20.0,44.0,0,0,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.0,-1.7454545454545451,96.233,0.304692082111437,341
"('chrI', 118931, 119470)",-,NM_001178163.1,40.139,6.907755278982138,6.907755278982138,0.5795714285714273,0.3237142857142859,0.4717142857142863,1,217.0,0.130754547,20.0,32.0,0,0,0.7142857142857143,0.0,1.0,-7.6,-6.2285714285714295,148.758,0.2961038961038961,539
"('chrI', 122507, 122695)",+,NM_001178162.2,34.359,4.605170185988091,6.214608098422191,0.0519999999999999,0.8552857142857155,0.5707142857142814,1,1573.0,26.92559135,20.0,37.0,0,0,0.0,0.8571428571428571,0.5714285714285714,-9.0,0.0,46.539,0.46542553191489355,188
"('chrI', 123049, 123445)",+,NM_001178162.2,13.487,0.0779615414697118,4.3428059215206005,0.086142857142857,0.8975714285714302,0.8357142857142865,0,0.0,26.92559135,20.0,12.0,-1,0,0.0,1.0,1.0,-10.05,-4.3,103.206,0.255050505050505,396
"('chrI', 134806, 134942)",-,NM_001178155.2,11.57,11.512925464970229,2.24431618487007,0.6247142857142882,0.1570000000000001,0.2678571428571407,1,488.0,15.79185205,0.0,11.0,0,0,0.4285714285714285,0.0,0.2857142857142857,0.0,-9.493406593406595,19.964,0.5345588235294118,136
"('chrI', 148753, 149047)",-,NM_001178148.1,31.003,5.115995809754082,2.8647040111475865,0.4264285714285725,0.865,0.4424285714285698,0,3147.0,17.35928062,20.0,23.0,0,0,0.7142857142857143,0.8571428571428571,0.4285714285714285,0.0,-5.386046511627899,63.89,0.35918367346938773,294
"('chrI', 148753, 148981)",-,NM_001178148.1,36.304,5.809142990314027,2.453407982728629,0.7608571428571407,0.6278571428571388,0.4491428571428574,0,3213.0,17.35928062,20.0,43.0,0,0,0.8571428571428571,0.7142857142857143,0.4285714285714285,0.0,-6.065909090909093,51.605,0.37412280701754386,228
"('chrM', 21284, 21516)",+,NP_009307.2,22.345,0.9014021193804044,3.0159349808715104,0.3952857142857123,0.8045714285714296,0.6287142857142811,0,7871.0,0.004481086,20.0,21.0,-1,0,0.0,0.8571428571428571,0.7142857142857143,-5.64,-3.5111111111111137,48.524,0.40344827586206894,232
