ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe_BPP,BPToEndStemMetric_RNAstructure_DMS_mfe_BPP,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe_BPP,ZipperStemEndMetric_RNAstructure_DMS_mfe_BPP,LongestStemMetric_RNAstructure_DMS_mfe_BPP,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe,LengthFeature,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe
"('chrI', 78695, 79036)",+,,48.0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,0,0,0.2756598240469208,22.0,0,-1,0.8571428571428571,0.0,0.8571428571428571,0.0,-11.7,41,0,0.2844574780058651,341,0.0,0.0,13
"('chrI', 123007, 123195)",+,,27.0,0,0,0.0,0.0,0.0,0.0,0.0,24,0,0.4574468085106383,27.0,0,0,0.0,0.4285714285714285,0.4285714285714285,-22.7,0.0,45,0,0.5691489361702128,188,0.0,0.0,20
"('chrI', 123549, 123945)",+,,19.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,12,0,0.3005050505050505,16.0,0,-1,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.0,0.0,66,3,0.3207070707070707,396,0.0,0.0,14
"('chrM', 21784, 22016)",+,,93.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,20,0,0.5344827586206896,65.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,37,1,0.375,232,0.0,0.0,13
"('chrM', 22632, 23110)",+,,22.0,0,0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,5,0,0.24686192468619247,32.0,0,0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0,0.0,110,1,0.3598326359832636,478,0.0,0.0,28
"('chrM', 38170, 38652)",+,,73.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,12,0,0.3112033195020747,16.0,0,0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,143,0,0.2551867219917012,482,0.0,0.0,12
"('chrM', 41794, 42131)",+,,11.0,0,0,0.5714285714285714,0.4285714285714285,0.0,0.0,0.0,22,1,0.20474777448071216,30.0,0,0,0.7142857142857143,1.0,0.1428571428571428,0.0,0.0,57,1,0.4332344213649852,337,0.0,0.0,22
"('chrV', 78606, 78845)",+,,125.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.6276150627615062,41.0,0,0,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.0,0.0,41,1,0.5313807531380753,239,0.0,0.0,7
"('chrV', 93311, 93713)",+,,62.0,0,-1,0.4285714285714285,0.5714285714285714,0.4285714285714285,0.0,0.0,5,0,0.42786069651741293,14.0,0,-1,0.5714285714285714,0.4285714285714285,0.7142857142857143,0.0,0.0,124,1,0.2885572139303483,402,0.0,0.0,9
"('chrV', 105195, 105542)",-,,31.0,0,0,0.0,0.0,0.0,0.0,0.0,9,0,0.41786743515850144,27.0,0,0,0.5714285714285714,0.5714285714285714,0.1428571428571428,0.0,-4.1,63,1,0.377521613832853,347,0.0,0.0,16
"('chrV', 169080, 169388)",-,,102.0,0,0,0.5714285714285714,0.2857142857142857,0.0,0.0,-5.3,7,0,0.38311688311688313,44.0,0,0,0.0,0.0,0.2857142857142857,0.0,-6.5,72,0,0.3019480519480519,308,0.0,-5.3,17
"('chrV', 294294, 294570)",+,,124.0,0,0,0.0,0.1428571428571428,0.0,0.0,0.0,0,0,0.463768115942029,30.0,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,71,0,0.3188405797101449,276,0.0,0.0,11
"('chrV', 299451, 299978)",+,,26.0,0,0,0.0,0.0,0.0,0.0,0.0,11,0,0.2409867172675522,25.0,0,0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.0,151,4,0.3055028462998102,527,0.0,0.0,11
"('chrV', 329645, 330106)",+,,202.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,14,0,0.5553145336225597,11.0,0,0,0.5714285714285714,0.0,0.8571428571428571,0.0,0.0,149,0,0.2863340563991323,461,0.0,0.0,22
"('chrV', 342865, 343074)",-,,46.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.3923444976076555,14.0,0,-1,0.0,0.7142857142857143,0.0,0.0,0.0,41,0,0.3875598086124402,209,0.0,0.0,7
"('chrV', 383887, 384031)",-,,51.0,0,0,0.0,0.0,1.0,0.0,0.0,11,0,0.4236111111111111,26.0,0,0,0.7142857142857143,0.5714285714285714,1.0,0.0,0.0,21,0,0.5902777777777778,144,0.0,0.0,11
"('chrV', 480360, 480489)",-,,79.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.7596899224806202,40.0,0,-1,0.7142857142857143,0.0,0.4285714285714285,0.0,0.0,6,0,0.5736434108527132,129,0.0,0.0,3
"('chrV', 507500, 507992)",+,,87.0,0,0,0.8571428571428571,0.8571428571428571,0.0,0.0,-8.4,21,1,0.3089430894308943,16.0,0,0,1.0,1.0,0.0,0.0,0.0,115,0,0.3333333333333333,492,0.0,-8.4,21
"('chrX', 167393, 167839)",-,,53.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.35201793721973096,57.0,0,0,0.0,0.5714285714285714,1.0,0.0,0.0,116,1,0.3385650224215246,446,0.0,0.0,13
"('chrX', 179086, 179560)",-,,57.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,11,0,0.28270042194092826,28.0,0,0,0.4285714285714285,0.0,0.5714285714285714,-22.2,0.0,108,1,0.2848101265822785,474,0.0,0.0,15
"('chrX', 215389, 215739)",-,,41.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,0,0,0.38285714285714284,33.0,0,0,0.4285714285714285,0.0,0.2857142857142857,0.0,0.0,94,0,0.3514285714285714,350,0.0,0.0,18
"('chrX', 214804, 214923)",-,,81.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.8823529411764706,4.0,0,0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,22,0,0.5378151260504201,119,0.0,0.0,5
"('chrX', 383324, 383505)",+,,37.0,0,0,0.0,0.0,0.0,0.0,0.0,11,0,0.5248618784530387,20.0,0,0,0.7142857142857143,0.0,0.0,0.0,0.0,45,0,0.4088397790055249,181,0.0,0.0,13
"('chrX', 404421, 404945)",+,,98.0,0,0,0.1428571428571428,0.2857142857142857,0.7142857142857143,0.0,0.0,16,0,0.3702290076335878,39.0,0,0,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,83,0,0.3416030534351145,524,0.0,0.0,16
"('chrX', 406860, 407220)",+,,28.0,0,0,0.0,0.0,0.4285714285714285,0.0,0.0,19,0,0.3277777777777778,28.0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,65,3,0.3555555555555555,360,0.0,0.0,9
"('chrX', 465241, 465380)",-,,54.0,0,0,0.2857142857142857,0.0,0.8571428571428571,0.0,0.0,10,0,0.4676258992805755,34.0,0,0,0.2857142857142857,0.5714285714285714,0.8571428571428571,-4.2,-5.6,43,0,0.3525179856115107,139,0.0,0.0,17
"('chrX', 483801, 484038)",-,,33.0,0,0,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0,7,1,0.2869198312236287,51.0,0,0,0.5714285714285714,0.4285714285714285,0.8571428571428571,0.0,0.0,50,1,0.3755274261603376,237,0.0,0.0,24
"('chrX', 509317, 509830)",+,,52.0,0,0,0.0,0.8571428571428571,0.5714285714285714,0.0,0.0,15,1,0.2631578947368421,9.0,0,-1,0.4285714285714285,0.8571428571428571,0.7142857142857143,0.0,0.0,84,3,0.3664717348927875,513,0.0,0.0,15
"('chrII', 518555, 518637)",-,,38.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0.6097560975609756,28.0,0,0,0.0,0.7142857142857143,0.5714285714285714,0.0,0.0,21,0,0.6463414634146342,82,0.0,0.0,8
"('chrII', 114358, 114686)",+,,33.0,0,0,0.0,0.7142857142857143,0.5714285714285714,0.0,0.0,14,1,0.24390243902439024,23.0,0,0,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.0,0.0,79,0,0.3902439024390244,328,0.0,0.0,24
"('chrII', 162605, 162872)",-,,120.0,0,0,0.0,0.0,0.0,0.0,0.0,12,0,0.49063670411985016,33.0,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,51,0,0.3445692883895131,267,0.0,0.0,16
"('chrII', 186720, 186913)",-,,45.0,0,0,0.0,0.2857142857142857,0.4285714285714285,0.0,0.0,5,1,0.35751295336787564,18.0,0,0,0.4285714285714285,0.5714285714285714,0.7142857142857143,0.0,0.0,46,0,0.3264248704663212,193,0.0,0.0,7
"('chrII', 219901, 220266)",+,,51.0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,9,0,0.273972602739726,54.0,0,0,0.5714285714285714,0.5714285714285714,0.4285714285714285,0.0,0.0,71,0,0.3178082191780822,365,0.0,0.0,11
"('chrII', 384531, 384623)",+,,44.0,0,0,0.8571428571428571,0.4285714285714285,0.4285714285714285,0.0,0.0,0,0,0.6630434782608695,13.0,0,0,0.8571428571428571,0.4285714285714285,0.4285714285714285,0.0,0.0,10,0,0.4239130434782608,92,0.0,0.0,6
"('chrII', 469755, 470102)",+,,104.0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,0.34870317002881845,22.0,0,0,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.0,0.0,70,1,0.3948126801152737,347,0.0,0.0,10
"('chrII', 603621, 603815)",+,,36.0,0,0,0.0,0.7142857142857143,0.4285714285714285,0.0,0.0,5,0,0.25257731958762886,32.0,0,0,0.0,0.7142857142857143,0.2857142857142857,-4.4,0.0,45,1,0.3608247422680412,194,0.0,0.0,13
