ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe,BPToEndStemMetric_RNAstructure_DMS_mfe,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe
"('chrXV', 780120, 780277)",+,,87.0,0,0,0.0,0.0,0.0,0.0,0.0,19,0,0.6305732484076433
"('chrXII', 712725, 713155)",-,,59.0,0,0,0.0,0.0,0.0,-25.5,0.0,45,0,0.5488372093023256
"('chrVI', 54377, 54686)",-,,64.0,0,0,0.0,0.0,0.42857142857142855,-16.6,0.0,52,0,0.49838187702265374
"('chrXVI', 281373, 281503)",-,,50.0,0,0,0.8571428571428571,0.0,0.0,-15.3,0.0,15,0,0.6153846153846154
"('chrXII', 40221, 40400)",-,,44.0,0,0,0.0,0.0,0.2857142857142857,0.0,-22.3,22,0,0.6201117318435754
"('chrII', 407027, 407122)",-,,50.0,0,0,0.0,0.0,0.0,-6.8,0.0,6,0,0.7894736842105263
"('chrXV', 552665, 552874)",-,,94.0,0,0,0.0,0.0,0.0,0.0,-5.7,15,0,0.6172248803827751
"('chrIV', 216157, 216489)",+,,48.0,0,0,0.0,0.0,0.0,0.0,0.0,51,0,0.4186746987951807
"('chrIV', 239398, 239509)",-,,68.0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0.8108108108108109
"('chrII', 393180, 393510)",+,,66.0,0,0,0.0,0.0,0.2857142857142857,-15.4,0.0,63,1,0.4666666666666667
"('chrX', 435227, 435343)",+,,41.0,0,-1,0.0,0.0,0.0,-8.5,0.0,9,0,0.5258620689655172
"('chrXVI', 623577, 623710)",+,,43.0,0,0,0.14285714285714285,0.0,0.0,0.0,0.0,5,0,0.7744360902255639
"('chrXVI', 883387, 883486)",+,,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.98989898989899
"('chrVIII', 187514, 187676)",-,,34.0,0,0,0.42857142857142855,0.0,0.0,0.0,-12.7,19,0,0.6111111111111112
"('chrV', 307746, 307848)",+,,47.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.8823529411764706
"('chrIV', 715247, 715358)",-,,58.0,0,0,0.0,0.0,0.0,0.0,0.0,5,0,0.6936936936936937
"('chrXIII', 99259, 99375)",-,,29.0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,8,0,0.43103448275862066
"('chrXIII', 23360, 23658)",-,,77.0,0,0,0.0,0.0,0.0,-22.5,-22.2,28,0,0.5436241610738255
