ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemMetric_Vienna_ens,ZipperStemStartMetric_Vienna_mfe,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LocalizationMetric_RNAstructure_ens,StartToBPStemMetric_RNAstructure_ens,BPToEndStemMetric_RNAstructure_ens,StartProtectionMetric_RNAstructure_ens,EndProtectionMetric_RNAstructure_ens,BPProtectionMetric_RNAstructure_ens,LongestStemMetric_Vienna_mfe,NWJMetric_Vienna_mfe,MLDMetric_Vienna_mfe,LocalizationMetric_Vienna_mfe,StartToBPStemMetric_Vienna_mfe,BPToEndStemMetric_Vienna_mfe,StartProtectionMetric_Vienna_mfe,EndProtectionMetric_Vienna_mfe,BPProtectionMetric_Vienna_mfe,ZipperStemEndMetric_Vienna_mfe,LongestStemMetric_Vienna_ens,NWJMetric_Vienna_ens,MLDMetric_Vienna_ens,ZipperStemStartMetric_RNAstructure_ens,ZipperStemEndMetric_RNAstructure_ens,LongestStemMetric_RNAstructure_ens,MLDMetric_RNAstructure_ens,LengthFeature,LocalizationMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe
"('chrXV', 780120, 780277)",+,,13.324,2.882403588246988,11.512925464970229,0.2138571428571415,0.1811428571428567,0.6035714285714289,0,0.0,0.0,0.0,10.84,1.3093333199837622,11.512925464970229,0.2504285714285694,0.1669999999999997,0.5568571428571425,34,1,0.4267515923566879,14.0,0,0,0.0,0.0,0.7142857142857143,0.0,15.671,0.358,0.3343949044585987,-5.8,0.0,12.84,0.33057324840764335,157,12.0,0.0,0.0,40,0.4267515923566879
"('chrXII', 712725, 713155)",-,NM_001182175.1,20.89,11.512925464970229,4.268697949366879,0.5302857142857129,0.2897142857142841,0.6245714285714249,0,0.0,0.0,-0.4666666666666667,24.415,11.512925464970229,5.521460917862246,0.5225714285714271,0.3411428571428564,0.590714285714281,117,1,0.2651162790697674,13.0,0,0,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.0,16.361,0.668,0.1651162790697674,0.0,-0.5333333333333334,16.062,0.18139534883720929,430,13.0,0.0,0.0,114,0.2697674418604651
"('chrVI', 54377, 54686)",-,NM_001179927.1,25.237,11.512925464970229,11.512925464970229,0.5817142857142846,0.363285714285714,0.7632857142857119,0,0.0,0.0,-3.199999999999998,24.938,11.512925464970229,11.512925464970229,0.5045714285714274,0.3032857142857135,0.7951428571428584,92,0,0.3106796116504854,24.0,0,0,0.8571428571428571,0.5714285714285714,0.8571428571428571,-3.2,20.441,0.36,0.2307443365695793,0.0,-3.199999999999997,19.764,0.23398058252427184,309,24.0,0.0,-3.2,94,0.3365695792880259
"('chrXVI', 281373, 281503)",-,,19.99,2.6882475738060303,11.512925464970229,0.5861428571428522,0.425000000000002,0.7129999999999914,0,-2.5,-2.278048780487805,0.0,20.377,3.146555163288575,11.512925464970229,0.5769999999999944,0.436571428571432,0.7132857142857053,22,1,0.5461538461538461,21.0,0,0,0.5714285714285714,0.4285714285714285,0.7142857142857143,0.0,10.222,0.208,0.2169230769230769,-2.1624999999999996,0.0,10.233,0.2169230769230769,130,21.0,-2.1,0.0,23,0.5769230769230769
"('chrXII', 40221, 40400)",-,NM_001181870.1,30.22,2.4418471603275536,11.512925464970229,0.0845714285714287,0.4127142857142858,0.5207142857142848,0,0.0,0.0,-8.03399999999999,26.705,1.7719568419318752,11.512925464970229,0.1128571428571428,0.3818571428571428,0.435857142857141,49,0,0.4860335195530726,35.0,0,0,0.0,0.7142857142857143,0.5714285714285714,-5.3,20.127,0.224,0.2435754189944134,0.0,-7.133999999999993,16.215,0.23296089385474864,179,35.0,0.0,-8.4,29,0.4581005586592179
"('chrII', 407027, 407122)",-,NM_001178430.1,27.748,11.512925464970229,11.512925464970229,0.2627142857142853,0.4615714285714266,0.3994285714285692,0,0.0,-6.309523809523809,0.0,26.63,11.512925464970229,11.512925464970229,0.4201428571428566,0.3561428571428567,0.3812857142857118,26,0,0.4736842105263157,29.0,0,0,0.0,0.8571428571428571,0.2857142857142857,0.0,15.98,0.158,0.251578947368421,-6.383870967741937,0.0,11.474,0.2336842105263158,95,33.0,0.0,0.0,23,0.5263157894736842
"('chrXVI', 138725, 138864)",+,NM_001184032.1,21.016,11.512925464970229,11.512925464970229,0.0112857142857142,0.0497142857142856,0.6441428571428565,0,0.0,-5.409090909090908,0.0,20.524,11.512925464970229,11.512925464970229,0.006,0.1124285714285717,0.5532857142857163,33,0,0.4028776978417266,20.0,0,0,0.0,0.0,0.4285714285714285,0.0,11.798,0.177,0.2942446043165468,-5.900000000000001,0.0,10.521,0.2669064748201439,139,20.0,0.0,0.0,34,0.3237410071942446
"('chrXV', 552665, 552874)",-,NM_001183541.3,40.71,11.512925464970229,11.512925464970229,0.126428571428571,0.1977142857142851,0.3308571428571409,0,-9.0,-9.0,-4.59456521739131,37.722,11.512925464970229,11.512925464970229,0.0685714285714287,0.1484285714285719,0.3264285714285692,53,2,0.3349282296650718,33.0,0,0,0.0,0.0,0.2857142857142857,-4.3,14.377,1.087,0.2885167464114832,-9.0,-4.6375000000000055,11.717,0.2784688995215311,209,38.0,0.0,-4.3,53,0.3349282296650718
"('chrIV', 216157, 216489)",+,,12.14,0.059750004405774,0.3930425881096072,0.6968571428571346,0.4154285714285732,0.3169999999999984,0,0.0,0.0,0.0,11.879,0.0736465401682984,0.3133418192323586,0.6897142857142775,0.462428571428574,0.3541428571428555,91,1,0.466867469879518,13.0,-1,-1,0.7142857142857143,0.4285714285714285,0.2857142857142857,0.0,27.774,1.301,0.2999999999999999,-28.7,0.0,25.346,0.297289156626506,332,13.0,0.0,0.0,90,0.466867469879518
"('chrIV', 239398, 239509)",-,NM_001180184.1,25.037,11.512925464970229,4.710530701645918,0.0697142857142859,0.1747142857142845,0.2924285714285683,0,0.0,-9.079999999999998,0.0,25.725,11.512925464970229,4.3428059215206005,0.0867142857142858,0.2208571428571411,0.2931428571428541,19,0,0.4774774774774775,26.0,0,0,0.0,0.1428571428571428,0.2857142857142857,0.0,15.19,0.029,0.2945945945945946,-8.666666666666666,0.0,10.248,0.25585585585585585,111,26.0,0.0,0.0,14,0.5495495495495496
"('chrII', 393180, 393510)",+,NM_001178426.2,15.628,0.8556661100577202,0.49758039701597,0.2225714285714291,0.5309999999999969,0.7277142857142844,0,0.0,0.0,0.0,14.224,0.5851900390548529,0.3754209867597876,0.2342857142857141,0.6052857142857124,0.6549999999999977,99,2,0.3242424242424242,24.0,0,0,0.0,0.0,1.0,0.0,18.65,1.847,0.2178787878787879,0.0,0.0,17.442,0.20333333333333337,330,11.0,0.0,0.0,108,0.3
"('chrX', 435227, 435343)",+,NM_001181435.1,17.58,11.512925464970229,1.6094379124341005,0.1721428571428565,0.1624285714285709,0.8541428571428629,0,0.0,-3.4000000000000004,-2.04,14.326,11.512925464970229,1.546463113272712,0.1175714285714283,0.1387142857142855,0.8554285714285775,28,0,0.4655172413793103,12.0,0,0,0.1428571428571428,0.0,0.8571428571428571,0.0,19.434,0.037,0.2413793103448276,0.0,-2.0470588235294116,15.813,0.22758620689655173,116,14.0,0.0,0.0,16,0.4655172413793103
"('chrXVI', 623577, 623710)",+,NM_001184125.1,47.03,11.512925464970229,11.512925464970229,0.3512857142857139,0.2324285714285699,0.9440000000000012,0,0.0,-1.6333333333333335,0.0,45.086,11.512925464970229,6.907755278982137,0.3055714285714268,0.2714285714285692,0.9674285714285726,16,0,0.6090225563909775,52.0,0,0,0.4285714285714285,0.0,1.0,0.0,16.367,0.049,0.2390977443609022,-1.6333333333333335,-5.3,17.407,0.22406015037593985,133,54.0,0.0,0.0,21,0.6090225563909775
"('chrIII', 107191, 107287)",+,NM_001184518.1,20.682,0.7444404749474959,1.4828052615007343,0.5147142857142822,0.255142857142857,0.4670000000000001,0,0.0,0.0,-1.8111111111111111,17.87,0.7174398731289899,1.2275826699650698,0.5315714285714258,0.253571428571429,0.4781428571428572,20,0,0.53125,37.0,0,0,0.0,0.5714285714285714,0.7142857142857143,0.0,11.4,0.079,0.30625,0.0,-2.0,11.091,0.2770833333333334,96,18.0,0.0,0.0,12,0.4895833333333333
"('chrIII', 107033, 107110)",+,NM_001184518.1,18.227,0.1075852106799374,11.512925464970229,0.2699999999999971,0.0031428571428571,0.011,0,0.0,0.0,0.0,18.318,0.1589957314904579,11.512925464970229,0.2637142857142831,0.0058571428571428,0.0225714285714285,11,0,0.7142857142857143,18.0,-1,0,0.2857142857142857,0.0,0.0,0.0,8.913,0.0,0.2987012987012987,0.0,0.0,6.286,0.2909090909090909,77,18.0,0.0,0.0,9,0.7142857142857143
"('chrXVI', 883387, 883486)",+,NM_001184525.1,20.471,1.1744140020843916,4.422848629194137,0.4537142857142845,0.0311428571428571,0.247285714285713,0,0.0,0.0,0.0,23.553,1.980501593824932,4.710530701645918,0.3862857142857127,0.0482857142857142,0.3099999999999986,7,0,0.7878787878787878,9.0,-1,0,0.5714285714285714,0.0,0.0,0.0,5.112,0.018,0.3131313131313132,0.0,0.0,5.136,0.3202020202020202,99,9.0,0.0,0.0,7,0.7878787878787878
