ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens
"('chrXV', 780120, 780277)",+,,21.4,11.512925464970229,11.512925464970229,0.6784285714285644,0.39657142857142796,0.3424285714285698
"('chrXII', 712725, 713155)",-,NM_001182175.1,27.337,11.512925464970229,6.214608098422191,0.604142857142856,0.44742857142857084,0.4781428571428595
"('chrVI', 54377, 54686)",-,NM_001179927.1,29.096,11.512925464970229,6.214608098422191,0.3385714285714286,0.21357142857142694,0.8217142857142834
"('chrXVI', 281373, 281503)",-,,18.158,5.298317366548036,11.512925464970229,0.6501428571428549,0.0647142857142857,0.5224285714285737
"('chrXII', 40221, 40400)",-,NM_001181870.1,22.407,2.071473372030659,11.512925464970229,0.46199999999999747,0.06071428571428571,0.9788571428571433
"('chrII', 407027, 407122)",-,NM_001178430.1,24.188,11.512925464970229,11.512925464970229,0.9392857142857164,0.8774285714285734,0.4857142857142878
"('chrXVI', 138725, 138864)",+,NM_001184032.1,23.646,11.512925464970229,11.512925464970229,0.10714285714285697,0.1780000000000001,0.5235714285714264
"('chrXV', 552665, 552874)",-,NM_001183541.3,46.649,11.512925464970229,11.512925464970229,0.44914285714285684,0.5155714285714301,0.33371428571428235
"('chrIV', 216157, 216489)",+,,13.04,2.488914671185539,11.512925464970229,0.5808571428571405,0.4744285714285715,0.5042857142857139
"('chrIV', 239398, 239509)",-,NM_001180184.1,22.482,3.912023005428146,11.512925464970229,0.6154285714285712,0.3774285714285713,0.5814285714285682
"('chrII', 393180, 393510)",+,NM_001178426.2,27.859,11.512925464970229,11.512925464970229,0.19871428571428412,0.7448571428571372,0.6522857142857086
"('chrX', 435227, 435343)",+,NM_001181435.1,20.019,11.512925464970229,2.2256240518579173,0.3938571428571421,0.22971428571428493,0.4734285714285746
"('chrXVI', 623577, 623710)",+,NM_001184125.1,30.29,11.512925464970229,11.512925464970229,0.3927142857142862,0.357571428571428,0.6311428571428546
"('chrIII', 107191, 107287)",+,NM_001184518.1,27.792,2.0249533563957662,0.4636240222816965,0.14142857142857118,0.3289999999999995,0.5575714285714253
"('chrIII', 107033, 107110)",+,NM_001184518.1,9.967,0.021223636451626688,11.512925464970229,0.6371428571428547,0.04585714285714285,0.04857142857142853
"('chrXVI', 883387, 883486)",+,NM_001184525.1,10.531,0.5310283310835102,1.5417792639602856,0.7577142857142838,0.16242857142857176,0.26771428571428485
"('chrXIII', 424997, 425153)",+,NM_001182578.1,19.458,11.512925464970229,6.907755278982137,0.459428571428572,0.31157142857142756,0.8438571428571455
"('chrVIII', 187514, 187676)",-,NM_001180027.1,22.058,11.512925464970229,11.512925464970229,0.54157142857143,0.2251428571428554,0.6895714285714202
"('chrXIV', 545291, 545370)",+,NM_001182883.1,9.541,0.2561834053924099,0.3188288014486177,0.7055714285714264,0.3687142857142828,0.4614285714285707
"('chrV', 307746, 307848)",+,NM_001184512.1,5.044,0.08773891430800675,11.512925464970229,0.9762857142857149,0.08614285714285716,0.6974285714285628
"('chrIV', 715247, 715358)",-,NM_001180437.3,19.875,6.214608098422191,4.961845129926823,0.28642857142857114,0.024285714285714265,0.6954285714285626
"('chrVII', 72988, 73137)",-,NM_001181091.1,39.922,11.512925464970229,11.512925464970229,0.5428571428571386,0.1157142857142859,0.022571428571428555
"('chrVIII', 498719, 498786)",-,NM_001184671.1,31.711,5.809142990314028,11.512925464970229,0.7081428571428531,0.013857142857142858,0.015142857142857152
"('chrXIII', 99259, 99375)",-,NM_001182444.1,24.159,2.9759296462578115,11.512925464970229,0.6191428571428547,0.248285714285714,0.144857142857143
"('chrII', 170676, 170804)",+,NM_001178266.1,24.199,4.268697949366879,11.512925464970229,0.38700000000000095,0.44771428571428357,0.5002857142857122
"('chrXIII', 23360, 23658)",-,NM_001182487.1,37.989,1.7037485919053417,1.4146938356415886,0.4217142857142848,0.5681428571428577,0.5844285714285696
"('chrIV', 733702, 733775)",-,NM_001180446.3,14.413,5.115995809754082,3.816712825623821,0.38814285714285857,0.3255714285714285,0.4255714285714275
