ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens
"('chrXV', 780600, 780797)",+,,37.207,11.512925464970229,11.512925464970229,0.5557142857142806,0.49828571428571633,0.9668571428571441
"('chrXII', 712205, 712675)",-,NM_001182175.1,37.909,11.512925464970229,11.512925464970229,0.5241428571428567,0.16342857142857134,0.8779999999999992
"('chrVI', 53857, 54206)",-,NM_001179927.1,29.629,11.512925464970229,11.512925464970229,0.36114285714285904,0.5135714285714248,0.5949999999999945
"('chrXVI', 280853, 281023)",-,,24.804,6.907755278982137,6.907755278982137,0.6617142857142791,0.467999999999999,0.7591428571428582
"('chrXII', 39701, 39920)",-,NM_001181870.1,30.615,11.512925464970229,11.512925464970229,0.43828571428571705,0.7597142857142862,0.5097142857142818
"('chrII', 406507, 406642)",-,NM_001178430.1,17.578,11.512925464970229,1.7372712839439852,0.575285714285708,0.6268571428571384,0.5128571428571451
"('chrXVI', 139205, 139384)",+,NM_001184032.1,41.518,11.512925464970229,11.512925464970229,0.4532857142857174,0.8228571428571417,0.6089999999999992
"('chrXV', 552145, 552394)",-,NM_001183541.3,59.573,11.512925464970229,11.512925464970229,0.2960000000000009,0.19042857142857197,0.24942857142857008
"('chrIV', 216637, 217009)",+,,43.755,6.907755278982137,6.907755278982137,0.3579999999999997,0.4322857142857144,0.25171428571428484
"('chrIV', 238878, 239029)",-,NM_001180184.1,14.494,11.512925464970229,11.512925464970229,0.9271428571428588,0.010000000000000002,0.9510000000000003
"('chrII', 393660, 394030)",+,NM_001178426.2,31.31,11.512925464970229,11.512925464970229,0.45471428571428923,0.32914285714285596,0.682714285714278
"('chrX', 435707, 435863)",+,NM_001181435.1,11.672,11.512925464970229,0.022245608947319737,0.6668571428571388,0.8952857142857162,0.8217142857142866
"('chrXVI', 624057, 624230)",+,NM_001184125.1,15.013,11.512925464970229,11.512925464970229,0.13428571428571293,0.005428571428571428,0.9967142857142858
